stimImg,taskType,audTrial,letter,correctResponse,familiarCorrect,sourceCorrect,encode_trials1.thisRepN,encode_trials1.thisTrialN,encode_trials1.thisN,encode_trials1.thisIndex,encode_trials2.thisRepN,encode_trials2.thisTrialN,encode_trials2.thisN,encode_trials2.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,encode_trials3.thisRepN,encode_trials3.thisTrialN,encode_trials3.thisN,encode_trials3.thisIndex,encode_trials4.thisRepN,encode_trials4.thisTrialN,encode_trials4.thisN,encode_trials4.thisIndex,distractor_2.thisRepN,distractor_2.thisTrialN,distractor_2.thisN,distractor_2.thisIndex,encode_trials5.thisRepN,encode_trials5.thisTrialN,encode_trials5.thisN,encode_trials5.thisIndex,encode_trials6.thisRepN,encode_trials6.thisTrialN,encode_trials6.thisN,encode_trials6.thisIndex,distractor3.thisRepN,distractor3.thisTrialN,distractor3.thisN,distractor3.thisIndex,encode_trials7.thisRepN,encode_trials7.thisTrialN,encode_trials7.thisN,encode_trials7.thisIndex,encode_trials8.thisRepN,encode_trials8.thisTrialN,encode_trials8.thisN,encode_trials8.thisIndex,distractor4.thisRepN,distractor4.thisTrialN,distractor4.thisN,distractor4.thisIndex,retrieval_trials1.thisRepN,retrieval_trials1.thisTrialN,retrieval_trials1.thisN,retrieval_trials1.thisIndex,retrieval_trials2.thisRepN,retrieval_trials2.thisTrialN,retrieval_trials2.thisN,retrieval_trials2.thisIndex,retrieval_trials3.thisRepN,retrieval_trials3.thisTrialN,retrieval_trials3.thisN,retrieval_trials3.thisIndex,retrieval_trials4.thisRepN,retrieval_trials4.thisTrialN,retrieval_trials4.thisN,retrieval_trials4.thisIndex,button_check_1.started,button_check_1.stopped,button_check_resp_1.keys,button_check_resp_1.rt,button_check_resp_1.started,button_check_resp_1.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,wait_text.started,wait_text.stopped,scanner_pulse.keys,scanner_pulse.rt,scanner_pulse.started,scanner_pulse.stopped,Trial_cue_onset,instruction.started,instruction.stopped,image_3.started,image_3.stopped,in_.started,in_.stopped,source_cue.started,source_cue.stopped,fixation.started,fixation.stopped,Response_cue_onset,rating.started,rating.stopped,text.started,text.stopped,rating_resp.keys,rating_resp.rt,rating_resp.started,rating_resp.stopped,text_16.started,text_16.stopped,instruc.started,instruc.stopped,distractor_task.started,distractor_task.stopped,distractor_task_resp.keys,distractor_task_resp.corr,distractor_task_resp.started,distractor_task_resp.stopped,flicker.started,flicker.stopped,distractor_task_resp.rt,end_screen.started,end_screen.stopped,spacebar_press.keys,spacebar_press.rt,spacebar_press.started,spacebar_press.stopped,one_moment.started,one_moment.stopped,Trial_familiarity_onset,item_rec.started,item_rec.stopped,image_4.started,image_4.stopped,item_rec_guide.started,item_rec_guide.stopped,item_rec_resp.keys,item_rec_resp.corr,item_rec_resp.started,item_rec_resp.stopped,Trial_source_onset,source_rec.started,source_rec.stopped,source_rec_resp.keys,source_rec_resp.corr,source_rec_resp.rt,source_rec_resp.started,source_rec_resp.stopped,item_rec_resp.rt,text_14.started,text_14.stopped,participant,session,group,university,date,expName,psychopyVersion,frameRate,
stimulus_images/ABALLYAR4.jpg,SPACE,0,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.01279910001904,2222.986925000092,2224.9884451001417,2222.986925000092,2224.9884451001417,2223.985048600007,2224.9855339999776,2223.985048600007,2224.9855339999776,2224.9855339999776,None,76.01543610007502,2228.9799897000194,None,2228.9799897000194,None,4,1.7558798999525607,2228.9799897000194,None,2234.9780409000814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/ABILLTABL.jpg,SPACE,1,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.01706139999442,2237.9902966001537,2239.9908935001586,2237.9902966001537,2239.9908935001586,2238.9887274000794,2239.9908935001586,2238.9887274000794,2239.9908935001586,2239.987212799955,None,91.02009980008006,2243.985734200105,None,2243.985734200105,None,4,1.1094048998784274,2243.985734200105,None,2249.9839270999655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/Acomputerdriv.jpg,SPACE,0,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.02131829992868,2251.995366899995,2253.9966506001074,2251.995366899995,2253.9966506001074,2252.993580600014,2253.992407300044,2252.993580600014,2253.992407300044,2253.992407300044,None,105.02424530009739,2257.9885041001253,None,2257.9885041001253,None,3,1.0000835999380797,2257.9885041001253,None,2263.9863785000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/AARMCHA25.jpg,SPACE,0,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.02577199996449,2266.9991144000087,2268.998312199954,2266.9991144000087,2268.998312199954,2267.9991361000575,2268.998312199954,2267.9991361000575,2268.998312199954,2268.995040900074,None,120.02919979998842,2272.9937640000135,None,2272.9937640000135,None,4,1.1670259002130479,2272.9937640000135,None,2278.9899744000286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/Aeasteregg14.jpg,SPACE,0,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.02985360007733,2281.9983171001077,2283.999060400063,2281.9983171001077,2283.999060400063,2282.9981112999376,2283.999060400063,2282.9981112999376,2283.999060400063,2283.9955454000738,None,135.03247849992476,2287.9970509000123,None,2287.9970509000123,None,4,1.2243248000741005,2287.9970509000123,None,2293.9963605999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/Atelescope2.jpg,SPACE,1,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.04006020002998,2296.014859799994,2298.014673900092,2296.014859799994,2298.014673900092,2297.0101402001455,2298.010585100157,2297.0101402001455,2298.010585100157,2298.010585100157,None,149.03702079993673,2302.00124230003,None,2302.00124230003,None,4,0.9545207999181002,2302.00124230003,None,2307.999888099963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/wetsuit1.jpg,SPACE,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.03855210007168,2311.0123706001323,2313.018045200035,2311.0123706001323,2313.018045200035,2312.006311000092,2313.0065806000493,2312.006311000092,2313.0065806000493,2313.0065806000493,None,164.04109150008298,2317.0055337001104,None,2317.0055337001104,None,4,1.7123020999133587,2317.0055337001104,None,2323.004722099984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/A25thdec3.jpg,SPACE,0,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0428697001189,2324.017716200091,2326.017429200001,2324.017716200091,2326.017429200001,2325.013926499989,2326.013310200069,2325.013926499989,2326.013310200069,2326.013310200069,None,177.04529609996825,2330.009502199944,None,2330.009502199944,None,3,0.8694953999947757,2330.009502199944,None,2336.011174000101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/Aroadsignin15.jpg,SPACE,1,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.05223609996028,2338.0208018000703,2340.0190390001517,2338.0208018000703,2340.0190390001517,2339.0186298000626,2340.0190390001517,2339.0186298000626,2340.0190390001517,2340.015763200121,None,191.05367660010234,2344.017985700164,None,2344.017985700164,None,4,1.4077651998959482,2344.017985700164,None,2350.0205546000507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
stimulus_images/AALTIRE2.jpg,SPACE,0,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.05921530001797,2351.0265567000024,2353.0268228000496,2351.0265567000024,2353.0268228000496,2352.023503200151,2353.023638200015,2352.023503200151,2353.023638200015,2353.023638200015,None,204.06196180009283,2357.0306133001577,None,2357.0306133001577,None,4,1.1559458000119776,2357.0306133001577,None,2363.023641000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,001,2,UA,2022_Feb_18_1342,task_complete_blocked_LC_updated,2021.2.3,239.20583636832805,
