stimImg,taskType,audTrial,letter,correctResponse,familiarCorrect,sourceCorrect,encode_trials1.thisRepN,encode_trials1.thisTrialN,encode_trials1.thisN,encode_trials1.thisIndex,encode_trials2.thisRepN,encode_trials2.thisTrialN,encode_trials2.thisN,encode_trials2.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,encode_trials3.thisRepN,encode_trials3.thisTrialN,encode_trials3.thisN,encode_trials3.thisIndex,encode_trials4.thisRepN,encode_trials4.thisTrialN,encode_trials4.thisN,encode_trials4.thisIndex,distractor_2.thisRepN,distractor_2.thisTrialN,distractor_2.thisN,distractor_2.thisIndex,encode_trials5.thisRepN,encode_trials5.thisTrialN,encode_trials5.thisN,encode_trials5.thisIndex,encode_trials6.thisRepN,encode_trials6.thisTrialN,encode_trials6.thisN,encode_trials6.thisIndex,distractor3.thisRepN,distractor3.thisTrialN,distractor3.thisN,distractor3.thisIndex,encode_trials7.thisRepN,encode_trials7.thisTrialN,encode_trials7.thisN,encode_trials7.thisIndex,encode_trials8.thisRepN,encode_trials8.thisTrialN,encode_trials8.thisN,encode_trials8.thisIndex,distractor4.thisRepN,distractor4.thisTrialN,distractor4.thisN,distractor4.thisIndex,retrieval_trials1.thisRepN,retrieval_trials1.thisTrialN,retrieval_trials1.thisN,retrieval_trials1.thisIndex,retrieval_trials2.thisRepN,retrieval_trials2.thisTrialN,retrieval_trials2.thisN,retrieval_trials2.thisIndex,retrieval_trials3.thisRepN,retrieval_trials3.thisTrialN,retrieval_trials3.thisN,retrieval_trials3.thisIndex,retrieval_trials4.thisRepN,retrieval_trials4.thisTrialN,retrieval_trials4.thisN,retrieval_trials4.thisIndex,distractor_cross.started,distractor_cross.stopped,distractor_cross_press_space.keys,distractor_cross_press_space.rt,distractor_cross_press_space.started,distractor_cross_press_space.stopped,button_check_1.started,button_check_1.stopped,button_check_resp_1.keys,button_check_resp_1.rt,button_check_resp_1.started,button_check_resp_1.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,wait_text.started,wait_text.stopped,scanner_pulse.keys,scanner_pulse.rt,scanner_pulse.started,scanner_pulse.stopped,Trial_cue_onset,instruction.started,instruction.stopped,image_3.started,image_3.stopped,in_.started,in_.stopped,source_cue.started,source_cue.stopped,fixation.started,fixation.stopped,Response_cue_onset,rating.started,rating.stopped,text.started,text.stopped,rating_resp.keys,rating_resp.rt,rating_resp.started,rating_resp.stopped,text_16.started,text_16.stopped,instruc.started,instruc.stopped,distractor_task.started,distractor_task.stopped,distractor_task_resp.keys,distractor_task_resp.corr,distractor_task_resp.started,distractor_task_resp.stopped,flicker.started,flicker.stopped,distractor_task_resp.rt,end_screen.started,end_screen.stopped,spacebar_press.keys,spacebar_press.rt,spacebar_press.started,spacebar_press.stopped,one_moment.started,one_moment.stopped,Trial_familiarity_onset,item_rec.started,item_rec.stopped,image_4.started,image_4.stopped,item_rec_guide.started,item_rec_guide.stopped,item_rec_resp.keys,item_rec_resp.corr,item_rec_resp.rt,item_rec_resp.started,item_rec_resp.stopped,Trial_source_onset,source_rec.started,source_rec.stopped,source_rec_resp.keys,source_rec_resp.corr,source_rec_resp.rt,source_rec_resp.started,source_rec_resp.stopped,text_14.started,text_14.stopped,participant,session,group,university,date,expName,psychopyVersion,frameRate,
stimulus_images/AICESKAT8.jpg,SPACE,0,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.06969270016998,1995.157475600019,1997.1622589998879,1995.157475600019,1997.1622589998879,1996.1474621999077,1997.1468787998892,1996.1474621999077,1997.1468787998892,1997.1468787998892,None,60.084321200381964,2001.1477652001195,None,2001.1477652001195,None,4,0.7223263001069427,2001.1477652001195,None,2007.1407476998866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/Aboxofchocola.jpg,SPACE,0,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08442850038409,2008.1698147002608,2010.1789961000904,2008.1698147002608,2010.1789961000904,2009.1722925002687,2010.1789961000904,2009.1722925002687,2010.1789961000904,2010.1615697001107,None,73.10141320014372,2014.165120200254,None,2014.165120200254,None,4,1.4552552001550794,2014.165120200254,None,2020.1575366002508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/AOTOSCOP5.jpg,SPACE,0,,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10256460029632,2021.1891025002114,2023.1955436998978,2021.1891025002114,2023.1955436998978,2022.1829002001323,2023.1955436998978,2022.1829002001323,2023.1955436998978,2023.1808195998892,None,86.11635220004246,2027.1816185000353,None,2027.1816185000353,None,3,0.9570917999371886,2027.1816185000353,None,2033.1819692999125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/ABALLYAR4.jpg,SPACE,0,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.13447120040655,2035.2153969001956,2037.2305274000391,2035.2153969001956,2037.2305274000391,2036.2202627998777,2037.2305274000391,2036.2202627998777,2037.2305274000391,2037.2305274000391,None,100.15165040036663,2041.2158317998983,None,2041.2158317998983,None,4,0.4314405997283757,2041.2158317998983,None,2047.1985432002693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/AARMCHA25.jpg,SPACE,0,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.15406000008807,2049.2329505002126,2051.245998600032,2049.2329505002126,2051.245998600032,2050.2324486002326,2051.245998600032,2050.2324486002326,2051.245998600032,2051.228807100095,None,114.1680297004059,2055.233956800308,None,2055.233956800308,None,4,0.38904769998043776,2055.233956800308,None,2061.2301290999167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/ACAROSLI2.jpg,SPACE,0,,,,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.17087829997763,2064.2509341998957,2066.2488013999537,2064.2509341998957,2066.2488013999537,2065.248840100132,2066.2488013999537,2065.248840100132,2066.2488013999537,2066.2488013999537,None,129.18347810022533,2070.2473802999593,None,2070.2473802999593,None,4,0.6000295002013445,2070.2473802999593,None,2076.2629853002727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/Aantiquerota7.jpg,SPACE,0,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.22748860018328,2078.2994256000966,2080.2987763001584,2078.2994256000966,2080.2987763001584,2079.3059914000332,2080.3144196001813,2079.3059914000332,2080.3144196001813,2080.2987763001584,None,143.21849390026182,2084.2826805999503,None,2084.2826805999503,None,4,0.6365164997987449,2084.2826805999503,None,2090.2813992002048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/wetsuit1.jpg,SPACE,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.22134570032358,2093.304658500012,2095.3148150001653,2093.304658500012,2095.3148150001653,2094.2993971998803,2095.3148150001653,2094.2993971998803,2095.3148150001653,2095.2995664002374,None,158.237967800349,2099.3049502000213,None,2099.3049502000213,None,4,0.6333356001414359,2099.3049502000213,None,2105.296990000177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/Aroadsignin15.jpg,SPACE,1,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.23537630029023,2106.3138899002224,2108.3136220001616,2106.3138899002224,2108.3136220001616,2107.3042303998955,2108.3136220001616,2107.3042303998955,2108.3136220001616,2108.2994348001666,None,171.25429990002885,2112.3201124002226,None,2112.3201124002226,None,4,0.8576513002626598,2112.3201124002226,None,2118.314589700196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
stimulus_images/Atelescope2.jpg,SPACE,1,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.25414330000058,2121.3343309001066,2123.3471877002157,2121.3343309001066,2123.3471877002157,2122.3441393999383,2123.3646257999353,2122.3441393999383,2123.3646257999353,2123.3471877002157,None,186.26963390037417,2127.333386400249,None,2127.333386400249,None,4,0.7176213003695011,2127.333386400249,None,2133.342493600212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102_T1,001,2,2,2022_Apr_12_1603,task_complete_blocked_LC_updated,2021.2.3,59.95487802004128,
