stimImg,taskType,audTrial,letter,correctResponse,encode_trials1.thisRepN,encode_trials1.thisTrialN,encode_trials1.thisN,encode_trials1.thisIndex,encode_trials2.thisRepN,encode_trials2.thisTrialN,encode_trials2.thisN,encode_trials2.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,encode_trials3.thisRepN,encode_trials3.thisTrialN,encode_trials3.thisN,encode_trials3.thisIndex,button_check_1.started,button_check_1.stopped,button_check_resp_1.keys,button_check_resp_1.rt,button_check_resp_1.started,button_check_resp_1.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,wait_text.started,wait_text.stopped,scanner_pulse.keys,scanner_pulse.rt,scanner_pulse.started,scanner_pulse.stopped,Trial_cue_onset,instruction.started,instruction.stopped,image_3.started,image_3.stopped,in_.started,in_.stopped,source_cue.started,source_cue.stopped,fixation.started,fixation.stopped,Response_cue_onset,rating.started,rating.stopped,text.started,text.stopped,rating_resp.keys,rating_resp.started,rating_resp.stopped,text_16.started,text_16.stopped,instruc.started,instruc.stopped,distractor_task.started,distractor_task.stopped,distractor_task_resp.keys,distractor_task_resp.corr,distractor_task_resp.started,distractor_task_resp.stopped,flicker.started,flicker.stopped,end_screen.started,end_screen.stopped,spacebar_press.keys,spacebar_press.rt,spacebar_press.started,spacebar_press.stopped,one_moment.started,one_moment.stopped,participant,session,group,university,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,39.481494499999826,None,1,0.9648994159979338,39.481494499999826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,40.46671416600293,None,2,0.29518829099833965,40.46671416600293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.77755758300191,None,3,0.5411401659985131,40.77755758300191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.33735895800055,None,4,0.26140408299761475,41.33735895800055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.61032750000231,None,5,0.609557333002158,41.61032750000231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
stimulus_images/ACANDLE30.jpg,SPACE,0,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.249999619787559e-06,42.29346508300296,44.2844042910001,42.29346508300296,44.2844042910001,43.27450729100019,44.26675012499982,43.27450729100019,44.26675012499982,44.26675012499982,None,5.974484958998801,48.24434858300083,None,48.24434858300083,None,None,48.24434858300083,None,54.23450820800281,None,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
stimulus_images/ABALLBEAR.jpg,SPACE,0,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.967790916998638,56.24095520800256,58.23207408300004,56.24095520800256,58.23207408300004,57.22055591600292,58.21633329100223,57.22055591600292,58.21633329100223,58.21633329100223,None,19.94044370899792,62.21028450000085,None,62.21028450000085,None,None,62.21028450000085,None,68.20105254100054,None,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
stimulus_images/Abottleofbat2.jpg,SPACE,1,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.923864291999053,69.2005879160024,71.19430733300032,69.2005879160024,71.19430733300032,70.18636283300293,71.18391275000249,70.18636283300293,71.18391275000249,71.18391275000249,None,32.907401042000856,75.17684029100201,None,75.17684029100201,None,None,75.17684029100201,None,81.167324500002,None,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
stimulus_images/Acocktailumb4.jpg,SPACE,0,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.89019604200075,82.16601216600247,84.1605825000006,82.16601216600247,84.1605825000006,83.15002858300068,84.14386945800288,83.15002858300068,84.14386945800288,84.15045875000214,None,45.88533449999886,88.15413416600131,None,88.15413416600131,None,None,88.15413416600131,None,94.15015491600207,None,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
stimulus_images/ADRYWOOD.jpg,SPACE,0,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.873494416999165,95.1490965410012,97.14404283300246,95.1490965410012,97.14404283300246,96.1269837079999,97.11586499999976,96.1269837079999,97.11586499999976,97.12754304100235,None,58.85149270900001,101.12019804100055,None,101.12019804100055,None,None,101.12019804100055,None,107.11705020800218,None,,,,,,,,,,,,,,,,,,,999,001,1,UA,2021_Dec_08_1620,task_complete_blocked_LC_updated,2021.2.3,None,
