stimImg,taskType,audTrial,letter,correctResponse,encode_trials1.thisRepN,encode_trials1.thisTrialN,encode_trials1.thisN,encode_trials1.thisIndex,encode_trials2.thisRepN,encode_trials2.thisTrialN,encode_trials2.thisN,encode_trials2.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,encode_trials3.thisRepN,encode_trials3.thisTrialN,encode_trials3.thisN,encode_trials3.thisIndex,encode_trials4.thisRepN,encode_trials4.thisTrialN,encode_trials4.thisN,encode_trials4.thisIndex,distractor_2.thisRepN,distractor_2.thisTrialN,distractor_2.thisN,distractor_2.thisIndex,encode_trials5.thisRepN,encode_trials5.thisTrialN,encode_trials5.thisN,encode_trials5.thisIndex,encode_trials6.thisRepN,encode_trials6.thisTrialN,encode_trials6.thisN,encode_trials6.thisIndex,distractor3.thisRepN,distractor3.thisTrialN,distractor3.thisN,distractor3.thisIndex,button_check_1.started,button_check_1.stopped,button_check_resp_1.keys,button_check_resp_1.rt,button_check_resp_1.started,button_check_resp_1.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,wait_text.started,wait_text.stopped,scanner_pulse.keys,scanner_pulse.rt,scanner_pulse.started,scanner_pulse.stopped,Trial_cue_onset,instruction.started,instruction.stopped,image_3.started,image_3.stopped,in_.started,in_.stopped,source_cue.started,source_cue.stopped,fixation.started,fixation.stopped,Response_cue_onset,rating.started,rating.stopped,text.started,text.stopped,rating_resp.keys,rating_resp.started,rating_resp.stopped,text_16.started,text_16.stopped,instruc.started,instruc.stopped,distractor_task.started,distractor_task.stopped,distractor_task_resp.keys,distractor_task_resp.corr,distractor_task_resp.started,distractor_task_resp.stopped,flicker.started,flicker.stopped,end_screen.started,end_screen.stopped,spacebar_press.keys,spacebar_press.rt,spacebar_press.started,spacebar_press.stopped,one_moment.started,one_moment.stopped,participant,session,group,university,date,expName,psychopyVersion,frameRate,
stimulus_images/Abottleofbat2.jpg,SPACE,1,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.03148460015655,236.36251059989445,238.3627285999246,236.36251059989445,238.3627285999246,237.35462890006602,238.35942459991202,237.35462890006602,238.35942459991202,238.35563839995302,None,75.03676900011487,242.35520419990644,None,242.35520419990644,None,None,242.35520419990644,None,248.35162319988012,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/ADRYWOOD.jpg,SPACE,0,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0414180001244,251.36491389991716,253.36535899993032,251.36491389991716,253.36535899993032,252.36631019995548,253.3682603999041,252.36631019995548,253.3682603999041,253.3608001000248,None,90.04242980014533,257.35657340008765,None,257.35657340008765,None,None,257.35657340008765,None,263.36076499987394,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/Acocktailumb4.jpg,SPACE,0,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.04990099999122,264.3720048000105,266.37696620007046,264.3720048000105,266.37696620007046,265.3708784999326,266.372599999886,265.3708784999326,266.372599999886,266.372599999886,None,103.05236430000514,270.365731399972,None,270.365731399972,None,None,270.365731399972,None,276.3685574999545,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/AARCCHAR2.jpg,SPACE,0,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.05844940012321,277.3808253998868,279.38109909999184,277.3808253998868,279.38109909999184,278.374508399982,279.37689940002747,278.374508399982,279.37689940002747,279.37689940002747,None,116.06275820010342,283.3766024999786,None,283.3766024999786,None,None,283.3766024999786,None,289.3742720000446,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/A56THUND4.jpg,SPACE,0,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.06266709999181,291.37906110007316,293.3845903999172,291.37906110007316,293.3845903999172,292.3787859000731,293.3845903999172,292.3787859000731,293.3845903999172,293.37891279999167,None,130.0674984001089,297.3816813000012,None,297.3816813000012,None,None,297.3816813000012,None,303.3810457000509,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/AMUSISTA2.jpg,SPACE,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0775351000484,305.39428270002827,307.3935120999813,305.39428270002827,307.3935120999813,306.3901382999029,307.39001089986414,306.3901382999029,307.39001089986414,307.39001089986414,None,144.07387970015407,311.38810639991425,None,311.38810639991425,None,None,311.38810639991425,None,317.39007269986905,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/Aancientston3.jpg,SPACE,0,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.07951549999416,318.39596679992974,320.4024660999421,318.39596679992974,320.4024660999421,319.39183029998094,320.39792350004427,319.39183029998094,320.39792350004427,320.39792350004427,None,157.0803281001281,324.3942487000022,None,324.3942487000022,None,None,324.3942487000022,None,330.3982601000462,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/AGLASSFL4.jpg,SPACE,1,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.086115000071,333.4088518000208,335.4102020000573,333.4088518000208,335.4102020000573,334.4091373998672,335.4102020000573,334.4091373998672,335.4102020000573,335.4073645998724,None,172.0887980000116,339.403964899946,None,339.403964899946,None,None,339.403964899946,None,345.40194880007766,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/weddingdress.jpg,SPACE,0,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.09015329997055,348.4138976999093,350.4147920999676,348.4138976999093,350.4147920999676,349.41379850008525,350.4147920999676,349.41379850008525,350.4147920999676,350.41178449988365,None,187.0926683000289,354.4067432999145,None,354.4067432999145,None,None,354.4067432999145,None,360.4070876999758,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
stimulus_images/beanbagchair.jpg,SPACE,0,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.09622960002162,362.41725219995715,364.41841769986786,362.41725219995715,364.41841769986786,363.4059011999052,364.4074512999505,363.4059011999052,364.4074512999505,364.4074512999505,None,201.09678649995476,368.4105378999375,None,368.4105378999375,None,None,368.4105378999375,None,374.4122126000002,None,,,,,,,,,,,,,,,,,,,TestSD,001,1,UA,2022_Feb_17_1029,task_complete_blocked_LC_updated,2021.2.3,243.37413937475011,
